Tahun	Minggu	Negeri	Daerah/Zon/PBT	Lokaliti	Jumlah Kes Terkumpul	Tempoh Wabak Berlaku (Hari)
2010	9	Selangor	MPSJ	Pjs 9	17	109
2010	9	Selangor	MBPJ	Flat Desa Mentari Pjs 6	24	99
2010	9	Selangor	Petaling	Seksyen 7 Flat  A	59	86
2010	9	Selangor	MPSJ	Ss 18	63	85
2010	9	Selangor	MPSJ	Usj 2	18	76
2010	9	Selangor	MPSJ	Usj 11	62	75
2010	9	Selangor	Hulu Langat	Pangsapuri Sri Ayu Seksyen 4 Bandar Baru Bangi	39	69
2010	9	Selangor	Gombak	Kg Wira Damai	15	68
2010	9	Selangor	Petaling	Seksyen 7 Flat D	88	67
2010	9	Selangor	Petaling	Seksyen 7 Teres A	26	63
2010	9	Selangor	Petaling	Seksyen 7 Teres A	74	63
2010	9	Selangor	Gombak	Taman Samudera Timur	16	63
2010	9	Selangor	MPAJ	Au5D Taman Keramat (Zon A)	8	60
2010	9	Selangor	Petaling	Seksyen 7E B	54	60
2010	9	Selangor	MBPJ	Mentari Court Pjs 8	20	58
2010	9	Selangor	MPSJ	Ss 14	22	57
2010	9	Selangor	Gombak	Kg Desa Aman	20	56
2010	9	Selangor	Hulu Langat	Kuarters Penjara	20	55
2010	9	Selangor	Gombak	Taman Sri Gombak Fasa 9	15	52
2010	9	Selangor	MBPJ	Apartment Suria Mas Pjs 10	10	50
2010	9	Selangor	MBPJ	Flat Desaria Pjs 5	32	48
2010	9	Selangor	MPSJ	Taman Universiti Indah 1	9	46
2010	9	Selangor	Hulu Langat	Seksyen 1 Bandar Rinching	9	41
2010	9	Selangor	Petaling	Seksyen 7 Flat B	12	41
2010	9	Selangor	MBSA	Kolej Jati	11	40
2010	9	Selangor	MBSA	Seksyen 7D	9	40
2010	9	Selangor	MBPJ	Flat Taman Sri Manja Pjs 3	13	39
2010	9	Selangor	MPAJ	Taman Melawati (Zon 5)	15	38
2010	9	Selangor	MPSJ	Bandar Kinrara (6)	10	38
2010	9	Selangor	MPAJ	Pandan Indah (Zon B Episod B)	10	38
2010	9	Selangor	MPAJ	Taman Permata (Zon A)	6	38
2010	9	Selangor	Hulu Langat	Apartment 16C Seksyen 16 Bandar Baru Bangi	13	37
2010	9	Selangor	MBPJ	Sri Manja Court Pjs 3	16	36
2010	9	Selangor	MPS	Taman Tun Teja	6	35
2010	9	Selangor	MPSJ	Taman Sedang Perdana (Sp 5)	17	33
2010	9	Selangor	MPAJ	Taman Dagang Jaya ( Zon A)	9	32
2010	9	Selangor	Hulu Langat	Taman Cheras Awana	10	32
2010	9	Selangor	MBPJ	Flat Sri Meranti Sd 13 Pju 9	8	31
2010	9	Selangor	Hulu Langat	Apartment Seksyen 3 Bandar Teknologi	5	31
2010	9	Selangor	Hulu Langat	Seksyen 2 Bandar Rinching	7	30
