Tahun	Minggu	Negeri	Daerah/Zon/PBT	Lokaliti	Jumlah Kes Terkumpul	Tempoh Wabak Berlaku (Hari)
2011	27	Selangor	Gombak	Taman Bukit Rahman Putra	8	35
2011	27	Selangor	Gombak	Apartment Sri Wira	11	33
2011	27	Selangor	Gombak	Kg. Simpang Tiga	17	32
2011	27	WPKL	Kepong	Menara Orkid	24	89
2011	27	Johor	Johor Bharu	Taman Air Batu	19	33
2011	28	Selangor	Gombak	Taman Bukit Rahman Putra	8	42
2011	28	Selangor	Gombak	Apartment Sri Wira	13	40
2011	28	Selangor	Gombak	Kg Simpang Tiga	17	39
2011	28	Selangor	Hulu Langat	Jalan Tps 2 Taman Pelangi Semenyih	7	34
2011	28	WPKL	Kepong	Menara Orkid	25	96
2011	29	Selangor	Gombak	Apartment Sri Wira	20	69
2011	29	Selangor	Gombak	Apartment Bangau	11	37
2011	29	WPKL	Kepong	Menara Orkid	25	103
2011	29	WPKL	Pusat Bandar	Desa Pandan ( Blok G1 - G10 )	10	38
2011	30	Selangor	Gombak	Apartment Sri Wira	15	54
2011	30	Selangor	Petaling	Pjs 7	7	31
2011	30	WPKL	Pusat Bandar	Desa Pandan (Blok G1-G10)	10	45
2011	30	WPKL	Setapak	Taman Melati (Kenari Appt)	5	33
2011	31	WPKL	Pusat Bandar	Desa Pandan (Blok G1-G10)	10	52
2011	31	WPKL	Setapak	Taman Melati (Kenari Appt)	5	40
2011	31	WPKL	Setapak	Pangsapuri Atm	23	37
2011	31	WPKL	Setapak	Taman Melati Utama (Platinum Hill)	21	34
2011	32	WPKL	Setapak	Pangsapuri Atm	25	44
2011	32	WPKL	Setapak	Taman Melati Utama (Platinum Hill)	24	41
2011	33	WPKL	Setapak	Pangsapuri Atm	25	51
2011	33	WPKL	Setapak	Taman Melati Utama (Platinum Hill)	28	48
2011	34	Selangor	Petaling	Seksyen 4 (Teres)	7	31
2011	34	WPKL	Setapak	Taman Melati Utama (Platinum Hill)	29	55
2011	35	WPKL	Setapak	Taman Melati Utama (Platinum Hill)	29	62
2011	41	Selangor	Hulu Langat	Flat Pandan Perdana	10	33
2011	41	Selangor	Hulu Langat	Apartment Taman Bukit Mewah	4	32
2011	41	WPKL	Cheras	Bintang Mas Kondo	11	37
2011	41	WPKL	Pusat Bandar	Corenthian Kondo	9	34
2011	42	Selangor	Hulu Langat	Flat Pandan Perdana	10	40
2011	42	WPKL	Cheras	Bintang Mas Kondo	11	44
2011	42	WPKL	Pusat Bandar	Corenthian Kondo	9	41
2011	42	WPKL	Klang Lama	Kolej Ke 12 Universiti Malaya	17	34
2011	43	WPKL	Klang Lama	Kolej Ke 12 Universiti Malaya	21	41
2011	43	WPKL	Cheras	Ppr Desa Tun Razak	16	35
2011	44	WPKL	Klang Lama	Kolej Ke 12 Universiti Malaya	22	48
2011	44	WPKL	Cheras	Ppr Desa Tun Razak	20	42
2011	44	WPKL	Klang Lama	Taman Gembira	13	31
